g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,inferred variant consequence,variant types,molecular mechanism,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,panel,comments,date of last review
G2P01786,PIEZO1,611184,HGNC:28993,FAM38A; KIAA0233,PIEZO1-related congenital lymphatic dysplasia with hydrops and/or lymphoedema,,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,26387913; 26333996,DD,,2016-11-10 09:16:06+00:00
G2P01872,SIN3A,607776,HGNC:19353,DKFZP434K2235; KIAA0700,SIN3A-related syndromic intellectual disability,612100,,monoallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0007370; HP:0001249; HP:0030048; HP:0000348,27399968; 30267900; 33437032,DD,,2017-02-09 14:56:28+00:00
G2P01894,MORC2,616661,HGNC:23573,AC004542.C22.1; KIAA0852; ZCW3; ZCWCC1,MORC2-related axonal neuropathy and neurodevelopmental disorder,,,monoallelic_autosomal,,strong,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0004322; HP:0000929; HP:0000598; HP:0000252; HP:0011389; HP:0000501; HP:0000365; HP:0000364; HP:0000407; HP:0001263; HP:0001249; HP:0002341; HP:0002508,26497905; 30624633; 28771897; 32693025; 26659848; 26912637; 27105897; 27329773; 27794525; 28334961; 28402445; 33762496; 33844363; 34059105; 34189813; 34630290; 34664855; 35332768; 35904125,DD,,2020-08-27 14:31:40+00:00
G2P02415,SMC1A,300040,HGNC:11111,DXS423E; KIAA0178; SB1.8; SMC1L1; SMCB,SMC1A-related epileptic encephalopathy,301044,,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0001250; HP:0011398; HP:0001249; HP:0200055; HP:0001344; HP:0001773,31185419; 31098032; 28677859; 28548707; 28166369; 26752331; 26386245; 26358754; 32496272; 33911395; 35238682; 35589488; 35658367; 35712061; 37107610; 38076278,DD,,2025-01-21 15:16:25+00:00
G2P02440,CHD3,602120,HGNC:1918,MI-2A; MI2-ALPHA; ZFH,CHD3-related macrocephaly and impaired speech and language,618205,,monoallelic_autosomal,,strong,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0000256; HP:0011398; HP:0001249; HP:0011098; HP:0000717,30397230; 32483341; 33358638; 33571694; 34535214; 35346573; 36565043,DD,,2025-01-14 17:12:50+00:00
G2P02580,HDAC8,300269,HGNC:13315,HDACL1; KDAC8; MRXS6; RPD3; WTS,HDAC8-related Cornelia de Lange syndrome,,,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0002808; HP:0004322; HP:0000252; HP:0000248; HP:0000336; HP:0000028; HP:0008734; HP:0001956; HP:0000692; HP:0000750; HP:0001249; HP:0003199; HP:0000823; HP:0200055; HP:0000135; HP:0000054; HP:0000278; HP:0000455; HP:0000490; HP:0000712; HP:0000771; HP:0001182; HP:0001419; HP:0001423; HP:0001773,29991052; 29519750; 29279609; 26671848; 25805374; 24403048; 22885700; 22889856; 25102095; 25800122,DD,,2025-01-17 10:00:51+00:00
G2P02621,PIGS,610271,HGNC:14937,PIG-S,PIGS-related neurological syndrome fetal akinesia/epileptic encephalopathy,,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,30269814,DD,,2019-03-27 22:15:18+00:00
G2P02792,FAT4,612411,HGNC:23109,CDHF14; CDHR11; FAT-J,FAT4-related Hennekam lymphangiectasia-lymphedema syndrome,616006,,biallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,,24913602,DD,,2019-09-18 14:19:07+00:00
G2P02851,ZC4H2,300897,HGNC:24931,HCA127; KIAA1166; MCS; MRXS4; WWS,ZC4H2-related arthrogryposis multiplex congenita and intellectual disability,314580,,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,,31206972; 23623388; 36250278; 29254829; 31885220; 33949289; 35504761; 36140726; 37519288,DD,,2025-01-28 18:14:28+00:00
G2P03013,TFE3,314310,HGNC:11752,BHLHE33; TFEA,TFE3-related intellectual disability with pigmentary mosaicism and coarse features,,,monoallelic_X_heterozygous,,definitive,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0001250; HP:0001257; HP:0001513; HP:0002151; HP:0001249; HP:0025293,32409512; 30595499; 31833172; 33057194; 1672758,DD,,2024-08-22 19:06:53+00:00
