g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,inferred variant consequence,variant types,molecular mechanism,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,panel,comments,date of last review
G2P00015,FLNB,603381,HGNC:3755,ABP-278; FH1; FLN1L; LRS1; TABP; TAP,FLNB-related spondylocarpotarsal synostosis syndrome,272460,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002644; HP:0003305; HP:0002948; HP:0003422; HP:0003307; HP:0003311; HP:0002650; HP:0003521; HP:0002750; HP:0004209; HP:0009702; HP:0000107; HP:0000518; HP:0007961; HP:0008368; HP:0008456; HP:0000175; HP:0002091; HP:0002656; HP:0003196; HP:0006297; HP:0001763; HP:0000007; HP:0000283; HP:0000316; HP:0000384; HP:0000410; HP:0000455; HP:0000470,14991055; 18386804; 18257094; 29566257; 33407338; 33916386; 37781000,DD; Eye; Skeletal,,2023-05-24 09:07:25+00:00
G2P00016,NAA10,300013,HGNC:18704,ARD1; ARD1A; DXS707; TE2,NAA10-related nonpecific severe intellectual disability,,,monoallelic_X_heterozygous,,definitive,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,25099252,DD,,2015-07-22 16:14:09+00:00
G2P00017,MOGS,601336,HGNC:24862,CWH41; DER7; GCS1,MOGS-related congenital disorder of glycosylation,612379,,biallelic_autosomal,,strong,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0001939; HP:0001252; HP:0002791; HP:0008872; HP:0001250; HP:0000527; HP:0000581; HP:0002240; HP:0000218; HP:0002943; HP:0010557; HP:0000007; HP:0000269; HP:0000278; HP:0000445; HP:0001188,,DD,,2015-07-22 16:14:09+00:00
G2P00018,AGPS,603051,HGNC:327,ADAP-S; ADAS; ADHAPS; ADPS; ALDHPSY,AGPS-related rhizomelic chondrodysplasia punctata,600121,,biallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,HP:0010655; HP:0008905; HP:0008873; HP:0000518; HP:0001508; HP:0003097; HP:0005792; HP:0000007,7807941; 11152660,DD; Eye; Skeletal,,2023-05-24 09:07:26+00:00
G2P00019,OFD1,300170,HGNC:2567,71-7A; CXORF5; JBTS10; RP23,OFD1-related oral-facial-digital syndrome,311200,,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0001627; HP:0004322; HP:0000822; HP:0003577; HP:0001780; HP:0001156; HP:0000324; HP:0000252; HP:0008070; HP:0001596; HP:0001159; HP:0001317; HP:0000138; HP:0001250; HP:0002536; HP:0000365; HP:0009085; HP:0000175; HP:0002007; HP:0002132; HP:0001249; HP:0002281; HP:0000238; HP:0002444; HP:0001395; HP:0000218; HP:0000093; HP:0100702; HP:0010442; HP:0006297; HP:0000286; HP:0011069; HP:0006349; HP:0009466; HP:0010297; HP:0000161; HP:0000113; HP:0000180; HP:0000199; HP:0000308; HP:0000316; HP:0000369; HP:0000430; HP:0000431; HP:0000494; HP:0000670; HP:0001056; HP:0001274; HP:0001407; HP:0001423; HP:0001737,9198060; 11950863; 11179005; 15221448; 9482645,DD; Skeletal,,2023-05-24 09:07:26+00:00
G2P00020,PAFAH1B1,601545,HGNC:8574,LIS1; MDCR; MDS; NUDF; PAFAH,PAFAH1B1-related lissencephaly,607432,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003745; HP:0003828; HP:0005484; HP:0002500; HP:0001250; HP:0001321; HP:0002119; HP:0002282; HP:0001339; HP:0008936; HP:0001263; HP:0001249; HP:0002365; HP:0001302; HP:0001285,14581661; 15007136; 11502906; 10441340,DD,,2015-07-22 16:14:09+00:00
G2P00021,COL1A1,120150,HGNC:2197,OI4,COL1A1-related osteogenesis imperfecta spectrum,,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,HP:0000707; HP:0002644; HP:0003321; HP:0004586; HP:0000926; HP:0001507; HP:0001252; HP:0000765; HP:0002808; HP:0002650; HP:0003502; HP:0000347; HP:0003100; HP:0005622; HP:0002757; HP:0002659; HP:0000239; HP:0001634; HP:0002093; HP:0008873; HP:0002980; HP:0001382; HP:0001075; HP:0000974; HP:0000365; HP:0008780; HP:0008921; HP:0002007; HP:0002092; HP:0002194; HP:0002645; HP:0002691; HP:0002982; HP:0003023; HP:0003088; HP:0003179; HP:0001622; HP:0005474; HP:0005855; HP:0005897; HP:0006367; HP:0001635; HP:0010444; HP:0001623; HP:0000703; HP:0000006; HP:0000007; HP:0000260; HP:0000272; HP:0000325; HP:0000362; HP:0000444; HP:0000592; HP:0000923; HP:0000938; HP:0000963; HP:0000977; HP:0000978; HP:0001058; HP:0001388; HP:0001518; HP:0001724; HP:0001790,9295084; 3082886; 18409203; 2295701; 1988452; 15728585; 1737847; 9067755; 15024692; 8757037; 8408653; 1634225; 8786074; 8723681; 11286507; 2511192; 8910493; 8456809; 7789952; 1770532; 21834035; 8364588; 2037280; 3403550; 2794057; 8950680; 8097422; 7816518; 3667599; 8100209; 12538651; 1613761; 2298750; 3108247; 1864604; 2309707; 7881420; 2500431; 2913053; 1874719; 2339700,DD; Skin; Skeletal,,2025-01-15 11:51:09+00:00
G2P00022,CAMTA1,611501,HGNC:18806,KIAA0833,CAMTA1-related cerebellar dysfunction with variable cognitive and behavioral abnormalities,614756,,monoallelic_autosomal,,definitive,absent gene product,splice_region_variant; frameshift_variant_NMD_triggering; stop_gained_NMD_triggering; missense_variant,loss of function,inferred,,HP:0001321; HP:0001251; HP:0001260; HP:0001319; HP:0001263; HP:0000750; HP:0002003; HP:0002317; HP:0100540; HP:0000486; HP:0000006; HP:0000160; HP:0000179; HP:0000276; HP:0000307; HP:0000343; HP:0000414; HP:0000463; HP:0001256,22693284; 38044714,DD,,2024-04-16 18:04:31+00:00
G2P00023,CHST3,603799,HGNC:1971,C6ST; C6ST1,CHST3-related spondyloepiphyseal dysplasia with congenital joint dislocations,143095,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003301; HP:0003071; HP:0003417; HP:0002751; HP:0002750; HP:0003834; HP:0010585; HP:0009882; HP:0009803; HP:0009179; HP:0001156; HP:0002945; HP:0001762; HP:0004976; HP:0008905; HP:0003042; HP:0003022; HP:0002829; HP:0100490; HP:0007598; HP:0008450; HP:0000365; HP:0008551; HP:0001718; HP:0001629; HP:0002092; HP:0002194; HP:0002515; HP:0002553; HP:0002655; HP:0000218; HP:0003040; HP:0002857; HP:0002938; HP:0002967; HP:0002982; HP:0003031; HP:0003090; HP:0003093; HP:0003184; HP:0001714; HP:0005180; HP:0010049; HP:0006067; HP:0000684; HP:0000691; HP:0000687; HP:0006462; HP:0006471; HP:0006610; HP:0010446; HP:0001642; HP:0000535; HP:0001763; HP:0100864; HP:0000006; HP:0000007; HP:0000316; HP:0000337; HP:0000343; HP:0000470; HP:0001552; HP:0001650; HP:0001653; HP:0001659,112567; 18698629; 20830804; 15098240; 18513679; 19320654,DD; Skeletal,,2023-05-24 09:07:26+00:00
G2P00024,HRAS,190020,HGNC:5173,HRAS1,HRAS-related Costello syndrome,218040,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,gain of function,inferred,,HP:0004322; HP:0003745; HP:0003764; HP:0000083; HP:0000347; HP:0011675; HP:0000256; HP:0008070; HP:0001869; HP:0001762; HP:0001634; HP:0002093; HP:0002107; HP:0001943; HP:0002996; HP:0000158; HP:0001000; HP:0001631; HP:0002119; HP:0007099; HP:0002059; HP:0000508; HP:0002779; HP:0001508; HP:0001263; HP:0001629; HP:0012081; HP:0002021; HP:0002033; HP:0001249; HP:0002212; HP:0000238; HP:0000218; HP:0002780; HP:0002859; HP:0002862; HP:0002870; HP:0000486; HP:0001622; HP:0001639; HP:0001187; HP:0005280; HP:0005989; HP:0006191; HP:0000286; HP:0001642; HP:0001699; HP:0000006; HP:0000179; HP:0000260; HP:0000280; HP:0000293; HP:0000307; HP:0000316; HP:0000358; HP:0000369; HP:0000463; HP:0000465; HP:0000470; HP:0000494; HP:0000768; HP:0000956; HP:0001548; HP:0001552; HP:0001561; HP:0001598; HP:0001609; HP:0001771; HP:0001808; HP:0001814,16443854; 17468812; 18247425; 16835863; 18039947; 17412879; 16170316; 19995790; 17054105; 17056636,DD; Skin,,2017-09-01 16:19:15+00:00
G2P00025,RPGRIP1,605446,HGNC:13436,CORD13; LCA6; RGI1; RPGRIP,RPGRIP1-related Leber congenital amaurosis,613826,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000556; HP:0000518; HP:0012043; HP:0007843; HP:0008499; HP:0011463; HP:0000007; HP:0000550; HP:0000563; HP:0000613; HP:0001141,11528500; 11283794,DD; Eye,,2025-01-27 10:43:36+00:00
G2P00026,RIPK4,605706,HGNC:496,ANKK2; ANKRD3; DIK; PKK; RIP4,"RIPK4-related popliteal pterygium syndrome, lethal type",263650,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000062; HP:0000347; HP:0009803; HP:0001159; HP:0000050; HP:0007418; HP:0000568; HP:0000561; HP:0001792; HP:0008689; HP:0001511; HP:0000175; HP:0000204; HP:0002006; HP:0002025; HP:0002223; HP:0003196; HP:0001798; HP:0000327; HP:0000882; HP:0006610; HP:0009755; HP:0009756; HP:0009777; HP:0000007; HP:0000059; HP:0000316; HP:0000369; HP:0000378,15264293; 22197488; 28940926; 33713555,DD; Skin,,2025-02-07 12:49:02+00:00
G2P00027,BRIP1,605882,HGNC:20473,BACH1; FANCJ; OF,BRIP1-related Fanconi anemia,609054,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007565; HP:0000568; HP:0001511; HP:0008897; HP:0001263; HP:0005528; HP:0009778; HP:0003221; HP:0000007,16116424,DD; Cancer,,2025-01-28 23:03:26+00:00
G2P00028,TBX3,601621,HGNC:11602,TBX3-ISO; UMS; XHL,TBX3-related Ulnar-mammary syndrome,181450,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003974; HP:0003977; HP:0003982; HP:0003022; HP:0007397; HP:0008093; HP:0001513; HP:0001629; HP:0011755; HP:0011917; HP:0002021; HP:0002023; HP:0002025; HP:0002215; HP:0002557; HP:0002984; HP:0003186; HP:0003187; HP:0000823; HP:0005338; HP:0001162; HP:0005792; HP:0000882; HP:0000894; HP:0010627; HP:0000006; HP:0000023; HP:0000049; HP:0000054; HP:0000668; HP:0001607,19938096; 12116211; 9207801; 12668170,DD; Skeletal,,2023-05-24 09:07:26+00:00
G2P00029,LAMA1,150320,HGNC:6481,LAMA,LAMA1-related cerebellar dysplasia with cysts with or without retinal dystrophy,615960,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0011844; HP:0001371; HP:0001288; HP:0002817; HP:0001155; HP:0001167; HP:0011297; HP:0000733; HP:0001760; HP:0004209; HP:0002186; HP:0001317; HP:0000496; HP:0002334; HP:0001251; HP:0002418; HP:0011398; HP:0000657,25105227; 21937992; 27095636; 29167897; 33083009; 34423300; 35224822; 35535551; 35616092,DD; Eye,,2015-07-22 16:14:10+00:00
G2P00030,ERLIN2,611605,HGNC:1356,C8ORF2; ERLIN-2; NET32; SPFH2; SPG18,ERLIN2-related intellectual developmental disorder,611225,,biallelic_autosomal,,limited,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,21937992,DD,,2025-01-16 13:37:48+00:00
G2P00031,PCCA,232000,HGNC:8653,,PCCA-related propionic acidemia,606054,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001903; HP:0003353; HP:0004322; HP:0001332; HP:0004396; HP:0001873; HP:0003128; HP:0001944; HP:0001942; HP:0001943; HP:0008872; HP:0001250; HP:0002059; HP:0000964; HP:0001987; HP:0002154; HP:0001508; HP:0008936; HP:0001263; HP:0001638; HP:0011695; HP:0001254; HP:0001875; HP:0001876; HP:0002013; HP:0002019; HP:0002104; HP:0002240; HP:0002509; HP:0002789; HP:0003108; HP:0001733; HP:0000939; HP:0006846; HP:0000007; HP:0001259,10820128; 8295402; 8411997; 17966092; 9887338; 12189489; 9683601; 9385377; 10101253; 8225321,DD; Skin,,2017-09-01 16:19:16+00:00
G2P00032,COG7,606978,HGNC:18622,,COG7-related congenital disorder of glycosylation,300171,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,,DD,,2015-07-22 16:14:11+00:00
G2P00034,MECP2,300005,HGNC:6990,MRX16; MRX79; RTT,MECP2-related Rett syndrome,312750,,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0003202; HP:0002808; HP:0002650; HP:0004322; HP:0003763; HP:0000164; HP:0004326; HP:0001332; HP:0005484; HP:0004879; HP:0001250; HP:0002120; HP:0001257; HP:0002078; HP:0002066; HP:0002353; HP:0005135; HP:0002019; HP:0002020; HP:0002187; HP:0002333; HP:0002376; HP:0005184; HP:0010521; HP:0001423; HP:0001773,16630165; 15034579; 10854091; 11214906; 12481990; 11022934; 19034540; 10814718; 11313756; 15857422; 10767337; 11930274; 18989701; 10508514; 10577905; 10737989; 10814719; 10944854; 10991688; 10991689; 11106359; 11245712; 11269512; 11309679; 11313764; 11331619; 11376998; 11462237; 11469283; 11524737; 11738860; 11738864; 11738879; 11738883; 11738884; 11768391; 11913567; 11955928,DD,,2020-12-16 13:14:42+00:00
G2P00035,FTL,134790,HGNC:3999,FTL1; MGC71996; NBIA3,FTL-related hereditary hyperferritinemia-cataract syndrome,600886,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003281; HP:0010693; HP:0008024; HP:0000006,19176363; 12200611; 7669675; 9414300; 9414313; 7493028; 9226182; 9292547; 11849230; 10759702,DD; Eye,,2019-10-16 15:56:51+00:00
G2P00036,CBL,165360,HGNC:1541,C-CBL; CBL2; RNF55,CBL-related Noonan syndrome-like disorder with or without juvenile meylomonocytic leukemia,613563,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,gain of function,inferred,,HP:0002715; HP:0000951; HP:0004322; HP:0000271; HP:0000929; HP:0000598; HP:0100659; HP:0012733; HP:0001000; HP:0000492; HP:0007400; HP:0000953; HP:0000957; HP:0008050; HP:0011342; HP:0001263; HP:0001249; HP:0002240; HP:0001744; HP:0000369; HP:0000494; HP:0001256,20619386; 20694012; 20543203,DD,,2025-01-27 09:29:25+00:00
G2P00038,TGFB3,190230,HGNC:11769,ARVD; ARVD1,TGFB3-related Loeys-Dietz syndrome,615582,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,24798638,DD; Skeletal,,2023-05-24 09:07:26+00:00
G2P00039,PIGO,614730,HGNC:23215,DKFZP434M222; FLJ00135; PIG-O,PIGO-related hyperphosphatasia with intellectual developmental disorder syndrome,614749,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001510; HP:0003577; HP:0000252; HP:0001631; HP:0001250; HP:0002119; HP:0003155; HP:0001357; HP:0000750; HP:0002023; HP:0002025; HP:0003196; HP:0010804; HP:0000007; HP:0000076; HP:0000316; HP:0000431; HP:0000455; HP:0000637,22683086,DD,,2015-07-22 16:14:11+00:00
G2P00040,GJA1,121014,HGNC:4274,CX43; GJAL; ODD; ODDD; ODOD; SDTY3,GJA1-related Hallermann-Streiff syndrome,234100,,biallelic_autosomal,,limited,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0002414; HP:0003307; HP:0001155; HP:0002650; HP:0003508; HP:0003745; HP:0000347; HP:0003016; HP:0003100; HP:0004334; HP:0000252; HP:0000248; HP:0008070; HP:0004782; HP:0002205; HP:0001382; HP:0001547; HP:0001009; HP:0000639; HP:0000268; HP:0001266; HP:0002069; HP:0000568; HP:0000541; HP:0000518; HP:0000653; HP:0000028; HP:0002779; HP:0000689; HP:0012231; HP:0002007; HP:0002092; HP:0001249; HP:0002213; HP:0002645; HP:0002691; HP:0000218; HP:0001739; HP:0002870; HP:0001592; HP:0000486; HP:0011069; HP:0006532; HP:0006611; HP:0000752; HP:0000233; HP:0010539; HP:0000535; HP:0000160; HP:0000232; HP:0000242; HP:0000272; HP:0000369; HP:0000430; HP:0000460; HP:0000482; HP:0000494; HP:0000588; HP:0000592; HP:0000611; HP:0000612; HP:0000695; HP:0000767; HP:0000883; HP:0000958; HP:0001518,14981729; 14974090,DD; Eye; Skin; Skeletal,,2023-05-24 09:07:26+00:00
G2P00041,PLK4,605031,HGNC:11397,SAK; STK18,"PLK4-related microcephaly, growth failure and retinopathy",616171,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,25344692,DD; Eye,,2015-07-22 16:14:12+00:00
G2P00042,ARSA,607574,HGNC:713,ASA,ARSA-related arylsulfatase a deficiency,250100,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001288; HP:0001252; HP:0000762; HP:0003445; HP:0011096; HP:0003487; HP:0001332; HP:0001268; HP:0002500; HP:0001250; HP:0001347; HP:0002072; HP:0007133; HP:0001251; HP:0000648; HP:0001260; HP:0000738; HP:0001265; HP:0001249; HP:0002371; HP:0002445; HP:0002510; HP:0002922; HP:0005609; HP:0000746; HP:0000020; HP:0000007; HP:0000712; HP:0001082; HP:0001283,7981715; 11456299; 1676699; 1353340; 1684088; 2574462; 11061266; 8104633; 9600244; 1673291; 8101038; 7902317; 7909527; 7815433; 1670590; 7906588; 12788103; 1678251; 7858169; 7833949; 8101083; 11941485; 7866401,DD,,2015-07-22 16:14:12+00:00
G2P00043,CLN3,607042,HGNC:2074,BTN1; BTS; JNCL,CLN3-related neuronal ceroid lipofuscinosis,204200,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003463; HP:0001336; HP:0000726; HP:0001317; HP:0001250; HP:0000510; HP:0002059; HP:0000608; HP:0000618; HP:0000529; HP:0000648; HP:0001260; HP:0002505; HP:0001922; HP:0002074; HP:0001249; HP:0002361; HP:0001300; HP:0000739; HP:0003205; HP:0003208; HP:0000007; HP:0000550; HP:0000709,7553855; 7887420; 9450775; 19489875; 10749980; 9311735,DD; Eye,,2015-07-22 16:14:12+00:00
G2P00045,FOXP2,605317,HGNC:13875,CAGH44; SPCH1; TNRC10,FOXP2-related speech-language disorder,602081,,monoallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0000271; HP:0002134; HP:0007301; HP:0000750; HP:0002546; HP:0000006,2332125; 15877281,DD,,2015-07-22 16:14:12+00:00
G2P00046,DOCK6,614194,HGNC:19189,KIAA1395; ZIR1,DOCK6-related Adams-Oliver syndrome,614219,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0000347; HP:0000256; HP:0000252; HP:0001250; HP:0002059; HP:0000954; HP:0000568; HP:0000648; HP:0001792; HP:0001263; HP:0002126; HP:0000486; HP:0005280; HP:0006951; HP:0000007; HP:0000294; HP:0000316; HP:0000369; HP:0000411; HP:0000414; HP:0000965; HP:0001562,21820096; 28884918; 30898718; 32498638,DD; Skin; Skeletal,,2025-02-07 12:22:35+00:00
G2P00047,SLC6A3,126455,HGNC:11049,DAT; DAT1,"SLC6A3-related parkinsonism-dystonia, infantile",319029,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,,DD,,2015-07-22 16:14:12+00:00
G2P00048,CHAMP1,616327,HGNC:20311,C13ORF8; CAMP; CHAMP; ZNF828,CHAMP1-related neurodevelopmental disorder,616579,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0011844; HP:0002817; HP:0001155; HP:0001167; HP:0011297; HP:0000153; HP:0000271; HP:0000929; HP:0001760; HP:0000366; HP:0000598; HP:0000248; HP:0000159; HP:0001263; HP:0001249; HP:0000400; HP:0000429; HP:0000463,26340335; 26751395; 27148580; 35271727; 36106092,DD,,2022-10-17 18:38:12+00:00
G2P00049,XPC,613208,HGNC:12816,RAD4; XPCC,XPC-related xeroderma pigmentosum,278720,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0004334; HP:0001009; HP:0001010; HP:0000992; HP:0000656; HP:0000509; HP:0011463; HP:0000491; HP:0012056; HP:0002671; HP:0003079; HP:0000621; HP:0006739; HP:0001029; HP:0000007; HP:0000613,8298653; 14662655; 11511294; 11121128; 9804340; 19478817,DD; Skin; Cancer,,2017-09-01 16:19:16+00:00
G2P00050,FOXE3,601094,HGNC:3808,FKHL12; FREAC8,FOXE3-related congenital primary aphakia,610256,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007700; HP:0000568; HP:0007707; HP:0007779; HP:0000526; HP:0000007; HP:0000647; HP:0000659,11159941; 16826526; 20361012; 29136273; 20140963; 22204637; 20664696; 27669367; 29878917,DD; Eye,,2018-01-20 15:35:29+00:00
G2P00051,SUMO1,601912,HGNC:12502,GMP1; OFC10; PIC1; SMT3C; SMT3H3; SUMO-1; UBL1,SUMO1-related cleft lip with or without cleft palate,608874,,monoallelic_autosomal,,limited,absent gene product,,loss of function,inferred,,HP:0100333; HP:0100334,16990542,DD,,2025-01-27 16:20:50+00:00
G2P00052,CLN8,607837,HGNC:2079,C8ORF61; EPMR; FLJ39417; TLCD6,CLN8-related neuronal ceroid lipofuscinosis,600143,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003677; HP:0001336; HP:0001268; HP:0001250; HP:0002059; HP:0002069; HP:0001251; HP:0001272; HP:0000529; HP:0000750; HP:0002353; HP:0002074; HP:0001249; HP:0002312; HP:0002376; HP:0002384; HP:0000711; HP:0003205; HP:0000737; HP:0000007,19431184; 16570191; 10508524,DD; Eye,,2015-07-22 16:14:13+00:00
G2P00053,MKKS,604896,HGNC:7108,BBS6,MKKS-related Mckusick-Kaufman syndrome,236700,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000969; HP:0000822; HP:0000077; HP:0001156; HP:0000256; HP:0001159; HP:0000819; HP:0001080; HP:0000137; HP:0000556; HP:0000639; HP:0002167; HP:0000510; HP:0001251; HP:0000518; HP:0007707; HP:0000501; HP:0000365; HP:0000072; HP:0000028; HP:0008734; HP:0001374; HP:0001513; HP:0001007; HP:0001263; HP:0000750; HP:0002099; HP:0010741; HP:0002023; HP:0002089; HP:0002141; HP:0001249; HP:0002251; HP:0002370; HP:0001328; HP:0002564; HP:0001395; HP:0000218; HP:0000486; HP:0001712; HP:0001162; HP:0010442; HP:0001829; HP:0006159; HP:0000545; HP:0000483; HP:0009466; HP:0009806; HP:0000007; HP:0000135; HP:0000054; HP:0000113; HP:0000126; HP:0000143; HP:0000145; HP:0000148; HP:0000668; HP:0000678; HP:0001586; HP:0001773,10802661,DD; Eye,,2017-08-29 10:12:57+00:00
G2P00054,NPHS1,602716,HGNC:7908,CNF; NPHN,NPHS1-related nephrotic syndrome,256300,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0003270; HP:0001510; HP:0000969; HP:0003577; HP:0003678; HP:0002719; HP:0000083; HP:0002643; HP:0003077; HP:0000821; HP:0003075; HP:0008677; HP:0001967; HP:0002020; HP:0002021; HP:0003073; HP:0000093; HP:0000092; HP:0000007; HP:0001518,17290294; 11854170; 9660941; 10577936; 10652016,DD,,2015-07-22 16:14:13+00:00
